Menu_ID,Item_name,Calories,Protein,Fat,Carbohydrates,Sugar,Sodium,Vegetarian,Vegan,Gluten_free
MENRES000000_0,Main Item 0,998,49.3,62.9,53.2,75.7,42.4,False,False,True
MENRES000000_1,Beverage Item 1,747,31.5,81.9,127.4,75.7,1458.2,False,False,True
MENRES000000_2,Starter Item 2,177,0.1,22.1,9.8,7.0,1249.0,True,True,False
MENRES000000_3,Main Item 3,779,16.9,48.1,50.4,59.9,1954.8,True,False,True
MENRES000000_4,Beverage Item 4,869,45.6,20.5,32.2,9.0,1731.4,False,False,False
MENRES000000_5,Starter Item 5,612,11.5,2.5,44.7,20.0,1845.5,False,False,False
MENRES000001_0,Dessert Item 0,826,26.5,13.5,23.2,32.5,388.5,False,False,False
MENRES000001_1,Starter Item 1,1004,52.3,37.5,51.1,56.2,288.8,False,False,True
MENRES000001_2,Starter Item 2,513,82.8,95.8,26.8,10.5,1915.6,False,False,True
MENRES000001_3,Beverage Item 3,681,76.1,66.2,78.8,37.6,481.8,True,True,False
MENRES000001_4,Starter Item 4,1453,98.9,81.8,132.3,91.4,1690.3,True,True,False
MENRES000001_5,Main Item 5,1282,93.3,77.3,47.8,85.7,1678.9,True,True,False
MENRES000001_6,Starter Item 6,1309,0.7,12.2,68.7,71.2,1509.5,True,False,True
MENRES000001_7,Starter Item 7,1048,20.4,97.2,6.1,17.8,1322.9,True,False,True
MENRES000001_8,Main Item 8,669,86.7,89.0,148.8,41.2,1309.2,False,False,True
MENRES000001_9,Starter Item 9,1221,9.6,28.5,82.2,56.3,1991.6,True,True,True
MENRES000001_10,Dessert Item 10,218,59.5,49.5,6.2,81.2,131.9,True,False,False
MENRES000001_11,Starter Item 11,1382,70.3,67.2,70.9,46.8,1192.7,True,True,False
MENRES000001_12,Main Item 12,483,91.8,62.8,33.3,90.5,732.7,True,False,True
MENRES000001_13,Beverage Item 13,924,24.4,8.7,64.5,15.4,1067.5,False,False,True
MENRES000001_14,Dessert Item 14,1017,78.7,31.4,91.5,96.5,1056.3,True,False,True
MENRES000002_0,Dessert Item 0,1303,81.8,91.1,21.4,72.2,163.2,True,True,True
MENRES000002_1,Dessert Item 1,1223,94.1,36.4,10.2,38.5,1466.5,True,True,True
MENRES000002_2,Starter Item 2,1196,74.3,50.0,37.5,85.2,146.0,False,False,False
MENRES000002_3,Starter Item 3,1040,7.5,52.8,11.7,4.7,1036.9,False,False,False
MENRES000002_4,Beverage Item 4,700,84.6,36.7,61.1,6.7,639.2,True,False,True
MENRES000002_5,Dessert Item 5,782,42.1,60.6,8.2,15.7,1729.0,False,False,True
MENRES000002_6,Starter Item 6,1431,0.5,75.3,147.0,79.8,651.6,True,True,False
MENRES000002_7,Starter Item 7,1320,5.5,31.5,59.9,25.0,1415.6,True,True,False
MENRES000003_0,Dessert Item 0,821,64.5,99.5,88.2,94.2,982.4,True,False,False
